Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
1,Grand Theft Auto V,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72,Xbox One
2,Call of Duty: Black Ops 3,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37,Xbox One
3,Call of Duty: WWII,2017,Shooter,Activision,3.75,1.91,0,0.57,6.23,Xbox One
4,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,3.76,1.47,0,0.54,5.77,Xbox One
5,MineCraft,2014,Misc,Microsoft Studios,3.23,1.71,0,0.49,5.43,Xbox One
6,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22,Xbox One
7,Battlefield 1,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13,Xbox One
8,Fallout 4,2015,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03,Xbox One
9,Halo 5: Guardians,2015,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92,Xbox One
10,Call of Duty: Infinite Warfare,2016,Shooter,Activision,2.91,1.44,0,0.44,4.79,Xbox One
11,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15,Xbox One
12,Forza Horizon 3,2016,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93,Xbox One
13,FIFA 17,2016,Sports,Electronic Arts,1.04,2.4,0,0.27,3.71,Xbox One
14,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Studios,2.88,0.37,0,0.37,3.62,Xbox One
15,Assassin's Creed: Unity,2014,Action,Ubisoft,2.34,0.9,0,0.34,3.58,Xbox One
16,Halo: The Master Chief Collection,2014,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44,Xbox One
17,Destiny,2014,Shooter,Activision,2.17,0.92,0,0.32,3.41,Xbox One
18,Gears of War 4,2016,Shooter,Microsoft Studios,2.17,0.9,0,0.32,3.38,Xbox One
19,FIFA 16,2015,Sports,EA Sports,0.92,2.1,0,0.24,3.25,Xbox One
20,FIFA 18,2017,Sports,EA Sports,0.98,1.92,0,0.23,3.14,Xbox One
21,Titanfall,2014,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11,Xbox One
22,Call of Duty: Ghosts,2013,Shooter,Activision,1.92,0.86,0,0.28,3.07,Xbox One
23,Overwatch,2016,Shooter,Blizzard Entertainment,1.63,0.84,0,0.25,2.72,Xbox One
24,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.62,0.84,0,0.25,2.71,Xbox One
25,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.54,0.82,0,0.24,2.59,Xbox One
26,Assassin's Creed Origins,2017,Action,Ubisoft,1.34,0.92,0,0.22,2.47,Xbox One
27,Madden NFL 16,2015,Sports,EA Sports,2.13,0.08,0,0.26,2.47,Xbox One
28,Madden NFL 17,2016,Sports,EA Sports,2.14,0.04,0,0.26,2.44,Xbox One
29,NBA 2K16,2015,Sports,2K Sports,2.01,0.15,0,0.25,2.41,Xbox One
30,Forza Motorsport 5,2013,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4,Xbox One
31,Destiny 2,2017,Shooter,Activision,1.66,0.47,0,0.23,2.35,Xbox One
32,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.51,0.59,0,0.22,2.32,Xbox One
33,FIFA 15,2014,Sports,EA Sports,0.64,1.39,0,0.16,2.19,Xbox One
34,PlayerUnknown's Battlegrounds,2017,Shooter,Microsoft Studios,1.29,0.69,0,0.2,2.17,Xbox One
35,Battlefield 4,2013,Shooter,Electronic Arts,1.26,0.65,0,0.19,2.09,Xbox One
36,NBA 2K17,2016,Sports,2K Sports,1.7,0.12,0,0.21,2.04,Xbox One
37,Forza Motorsport 6,2015,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02,Xbox One
38,NBA 2K18,2017,Sports,2K Sports,1.67,0.14,0,0.21,2.02,Xbox One
39,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.15,0.59,0,0.17,1.92,Xbox One
40,Madden NFL 18,2017,Sports,EA Sports,1.63,0.07,0,0.2,1.91,Xbox One
41,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.13,0.53,0,0.17,1.83,Xbox One
42,Far Cry 5,2018,Action,Ubisoft,1.14,0.47,0,0.17,1.78,Xbox One
43,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0,0.18,1.74,Xbox One
44,NBA 2K15,2014,Sports,2K Sports,1.39,0.18,0,0.18,1.74,Xbox One
45,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74,Xbox One
46,Far Cry 4,2014,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68,Xbox One
47,Watch Dogs,2014,Action-Adventure,Ubisoft,0.91,0.59,0,0.15,1.64,Xbox One
48,Dead Rising 3,2013,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63,Xbox One
49,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,0.98,0.48,0,0.15,1.61,Xbox One
50,Madden NFL 15,2014,Sports,EA Sports,1.34,0.1,0,0.17,1.6,Xbox One
51,Rise of the Tomb Raider,2015,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58,Xbox One
52,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0,0.14,1.58,Xbox One
53,Forza Motorsport 7,2017,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52,Xbox One
54,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47,Xbox One
55,Ryse,2013,Action,Microsoft Studios,0.84,0.49,0,0.13,1.47,Xbox One
56,Forza Horizon 2,2014,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46,Xbox One
57,Doom (2016),2016,Shooter,Bethesda Softworks,0.76,0.57,0,0.13,1.45,Xbox One
58,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.71,0.61,0,0.12,1.44,Xbox One
